NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
,V5900,"0.0485","0.0625","126.15"
,V5900,"0.0617","0.102221","81.57"
,V5900,"0.0989","0.137638333","188.556"
,V5900,"0.024233333","0.032926667","139.13"
,V5900,"0.0288","0.054122667","702.23"
,V5900,"0.8744","1.384717667","495.346"
,V5900,"2.027466667","3.190198667","762.608"
,V5900,"3.181233333","4.356679333","303.634"
,V5900,"0.011166667","0.02012","315.176"
,V5900,"4.667333333","7.498419","655.526"
,V5900,"0.0109","0.014695","93.174"
,V5900,"0.0315","0.060034333","455.556"
,V5900,"1.4838","2.313956333","519.714"
,V5900,"0.039866667","0.078850667","487.454"
,V5900,"0.006","0.009","34.332"
,V5900,"0.0045","0.008","311.614"
,V5900,"0.00575","0.00925","578.412"
,V5900,"0.0215","0.031","565.332"
,V5900,"0.0084","0.008","745.852"
,V5900,"0.0396","0.051","587.718"
,V5900,"0.0236","0.0454","1174.514"
,V5900,"0.0992","0.1846","1212.722"
,V5900,"0.1642",N/A,"890.22"
,V5900,"0.883",N/A,"1056.448"
,V5900,"0.9302",N/A,"486.624"
,V5900,"2.1",N/A,"193.942"
,V5900,"0.2874",N/A,"568.682"
,V5900,"1.853",N/A,"1551.75"
,V5900,"1.008",N/A,"450.412"
,V5900,"0.2362",N/A,"523.596"
,V5900,"1.482",N/A,"1483.86"
,V5900,"0.336",N/A,"1118.888"
,V5900,"0.067",N/A,"794.912"
,V5900,"0.0045",N/A,"228.508"
,V5900,"2.0726",N/A,"1044.96"
,V5900,"3.3058",N/A,"673.39"
,V5900,"1.704",N/A,"329.268"
,V5900,"3.577",N/A,"407.384"
,V5900,"0.6406",N/A,"743.904"
,V5900,"0.1086","0.082","659.89"
,V5900,"0.0122","0.0078","102.124"
,V5900,"0.2218","0.1308","633.268"
,V5900,"0.0122","0.012","78.25"
,V5900,"2.2614","2.1594","2280.198"
,V5900,"0","0","117.152"
,V5900,"0","0","4.914"
