NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
AT11,V4210,"0.2044","7.3476","185.08"
AT12,V4210,"3.119","138.223","878.73"
AT13,V4210,"0.007116667","0.325733333","5.662"
AT21,V4210,"0.02684","0.680108333","210.216"
AT22,V4210,"0.017433333","0.7135","362.742"
AT31,V4210,"0.031333333","1.2195","507.71"
AT32,V4210,"0.001716667","0.052025","173.67"
AT33,V4210,"0.070666667","2.640666667","241.6"
AT34,V4210,"0.005066667","0.146266667","76.8"
BE10,V4210,"0.013175",,"3.048"
BE21,V4210,"0.230538333",,"96.518"
BE22,V4210,"0.279575",,"86.294"
BE23,V4210,"0.923423333",,"147.72"
BE24,V4210,"0.232581667",,"88.31"
BE25,V4210,"1.400426667",,"201.36"
BE31,V4210,"0.287706667",,"64.704"
BE32,V4210,"0.574811667",,"209.64"
BE33,V4210,"0.214543333",,"158.78"
BE34,V4210,"0.00337",,"143.332"
BE35,V4210,"0.161121667",,"156.166"
CY00,V4210,"0.1369","4.47675","126.15"
CZ01,V4210,"0.000206667","0.004978333","10.898"
CZ02,V4210,"0.869898333","20.61823833","552.224"
CZ03,V4210,"0.022386667","0.34459","739.158"
CZ04,V4210,"0.09631","2.206575","316.616"
CZ05,V4210,"0.301998333","8.272516667","569.826"
CZ06,V4210,"0.429703333","11.74487333","725.494"
CZ07,V4210,"0.064446667","1.663325","397.306"
CZ08,V4210,"0.019555","0.386333333","212.85"
EE00,V4210,"0.138833333","0.773833333",
EL30,V4210,"16.3373","17.6406273","81.57"
EL41,V4210,"0.0446","0.3184","188.556"
EL42,V4210,"0.0221","0.25053","139.13"
EL43,V4210,"0.1333","1.915463","702.23"
EL51,V4210,"0.0392","0.604846","495.346"
EL52,V4210,"0.1474","2.521429","762.608"
EL53,V4210,"0.0295","0.30427","303.634"
EL54,V4210,"0.0235","0.1678","315.176"
EL61,V4210,"0.115","1.783472","655.526"
EL62,V4210,"0.0055","0.06147","93.174"
EL63,V4210,"0.083","0.633448","455.556"
EL64,V4210,"0.0869","1.670079","519.714"
EL65,V4210,"0.0763","0.948168","487.454"
ES11,V4210,"1.168","31.042","936.598"
ES12,V4210,"0.135","1.68","431.53"
ES13,V4210,"0.008","0.112","259.972"
ES21,V4210,"0.078","1.512","201.348"
ES22,V4210,"0.364","25.062","424.964"
ES23,V4210,"0.053","2.412","236.484"
ES24,V4210,"1.478","75.344","2342.764"
ES30,V4210,"1.219","49.535","341.626"
ES41,V4210,"1.562","75.319","5161.37"
ES42,V4210,"10.11","702.356","3999.056"
ES43,V4210,"0.105","3.141","2610.714"
ES51,V4210,"1.142","36.184","1064.22"
ES52,V4210,"1.812","66.702","694.464"
ES53,V4210,"0.105","3.633","217.074"
ES61,V4210,"4.068","183.425","4812.198"
ES62,V4210,"0.838","34.184","408.208"
ES70,V4210,"0.363","8.08","111.274"
FR10,V4210,"0.52025","14.8381","585.9075"
FRB0,V4210,"3.61825","208.9488","2389.865"
